# Tk at z_eff=1.7584 (p=1.6, NGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
1.914363088159334592e-01 -4.215009078813414939e-02 -8.618237002048796057e+03 -8.699271816419504830e+03 -4.066746490497216704e-02 -7.612077490509750533e+01 -8.641441923576270710e+03 3.379119657978232882e-02 3.379119657520981285e-02
1.978381426500226969e-01 -4.045916169929511530e-02 -8.837137675944517468e+03 -8.917750552297165996e+03 -3.903600483414020050e-02 -7.322276646970315994e+01 -8.858833071383949573e+03 3.243563793288292002e-02 3.243563792876565793e-02
2.044540614366398001e-01 -3.858009544769125387e-02 -8.996858483170448380e+03 -9.082472668236301615e+03 -3.722303859460885517e-02 -6.992830046471837591e+01 -9.021893354035486482e+03 3.092944888415029986e-02 3.092944888046880031e-02
2.112912434186454136e-01 -3.659116581026188725e-02 -9.106609098049293607e+03 -9.201434467240327649e+03 -3.530407976125038427e-02 -6.645420497959348438e+01 -9.138769181768508133e+03 2.933531030850039176e-02 2.933531030522514016e-02
2.183571705513595307e-01 -3.463496935910560098e-02 -9.198274588573875008e+03 -9.303379867732535786e+03 -3.341670305938561347e-02 -6.298173738446460135e+01 -9.238549348096945323e+03 2.776737602927735818e-02 2.776737602637103716e-02
2.256596954756984463e-01 -3.285249506692314303e-02 -9.313133817281268421e+03 -9.425779086439715684e+03 -3.169692949843381374e-02 -5.983367992415440284e+01 -9.359109025015552106e+03 2.633858776478179009e-02 2.633858776219675721e-02
2.332071196186495665e-01 -3.132686898757072042e-02 -9.484576966154623733e+03 -9.599378288246582088e+03 -3.022496273141502335e-02 -5.714551725031117968e+01 -9.531450383482440884e+03 2.511547260588673988e-02 2.511547260357552963e-02
2.410082838404624950e-01 -3.004595797669059459e-02 -9.720548198937751295e+03 -9.832167913740449876e+03 -2.898909469012073137e-02 -5.487652910387292593e+01 -9.763514675142307169e+03 2.408841448411796690e-02 2.408841448204004226e-02
2.490726733524173120e-01 -2.890236263083638402e-02 -9.993982679565389844e+03 -1.010006142868461393e+04 -2.788571081221292297e-02 -5.284183202992650052e+01 -1.003087177267975494e+04 2.317141130087780124e-02 2.317141129900448029e-02
2.574105390470100008e-01 -2.775423765788494895e-02 -1.025545326594764265e+04 -1.035805763660382763e+04 -2.677796212119456370e-02 -5.079798854079371750e+01 -1.028805809789568229e+04 2.225085640502732706e-02 2.225085640334133891e-02
2.660330379459330818e-01 -2.651056511291222800e-02 -1.046340878063610944e+04 -1.056785492603772036e+04 -2.557803406641752375e-02 -4.857060967366594895e+01 -1.049646004842056755e+04 2.125385335566501790e-02 2.125385335415581889e-02
2.749523962221981921e-01 -2.517818552099528387e-02 -1.061053014510757021e+04 -1.072197419985445413e+04 -2.429252738451662119e-02 -4.618272508009564348e+01 -1.064866285924234217e+04 2.018580294424427574e-02 2.018580294290105506e-02
2.841820992472194329e-01 -2.385343816835161154e-02 -1.073256217529973765e+04 -1.085248161955163596e+04 -2.301438389815373478e-02 -4.380247107237823201e+01 -1.077714471718488312e+04 1.912389047875219170e-02 1.912389047755978788e-02
2.937371144283142943e-01 -2.265213104937155095e-02 -1.088604358402103753e+04 -1.101123400511526233e+04 -2.185533347330767887e-02 -4.164376493681869817e+01 -1.093422915597481551e+04 1.816086340169811159e-02 1.816086340063707491e-02
3.036341543436755219e-01 -2.161475628414066819e-02 -1.110137846465940675e+04 -1.122652822805978940e+04 -2.085444444827484409e-02 -3.975903520467132779e+01 -1.114839702121826485e+04 1.732914563396583535e-02 1.732914563301777428e-02
3.138919900014220388e-01 -2.068622158422927723e-02 -1.135942461075325809e+04 -1.148149615789118616e+04 -1.995856557298141334e-02 -3.807552019931163301e+01 -1.140251018869759537e+04 1.658463699258604096e-02 1.658463699173656075e-02
3.245318271633457763e-01 -1.976992886895894905e-02 -1.160804598502636691e+04 -1.172878033257339666e+04 -1.907450022892930377e-02 -3.643078776260453822e+01 -1.164870601095163329e+04 1.584999254462721163e-02 1.584999254386693437e-02
3.355777628968756310e-01 -1.880799097099168996e-02 -1.180673224728975947e+04 -1.193083075725731396e+04 -1.814640016309650855e-02 -3.466889290304165883e+01 -1.184916415969949048e+04 1.507881921066733279e-02 1.507881920999065879e-02
3.470573453133869446e-01 -1.783177189907807908e-02 -1.196906066293647018e+04 -1.209950413004258371e+04 -1.720452289686266040e-02 -3.289338971515982024e+01 -1.201595055940896418e+04 1.429623302109974542e-02 1.429623302049954497e-02
3.590022675081622761e-01 -1.691385453660339960e-02 -1.214559356022310385e+04 -1.228075376185482855e+04 -1.631889419635015881e-02 -3.123245158243855002e+01 -1.219550420965605008e+04 1.356036387662988042e-02 1.356036387609734634e-02
3.714492380842650543e-01 -1.609072799815343402e-02 -1.237114973720625130e+04 -1.250698751104778239e+04 -1.552471976309546461e-02 -2.972707593633362322e+01 -1.242044320380960926e+04 1.290042788791943493e-02 1.290042788744598205e-02
3.844410869336386538e-01 -1.532215871775638276e-02 -1.262167750944379259e+04 -1.275668340009702479e+04 -1.478318343384711457e-02 -2.832251428592049081e+01 -1.266895973900384706e+04 1.228421273006064483e-02 1.228421272963954591e-02
3.980281886988606965e-01 -1.455256816741445393e-02 -1.285060992396090478e+04 -1.298741056235216820e+04 -1.404066347948280946e-02 -2.692069417181867408e+01 -1.289819340178955099e+04 1.166721468937858414e-02 1.166721468900522307e-02
4.122703216106688995e-01 -1.377748618190708166e-02 -1.305036966982335798e+04 -1.319179255451048448e+04 -1.329284661034330073e-02 -2.548380177185343598e+01 -1.310077449682966108e+04 1.104584111806716611e-02 1.104584111773770222e-02
4.272391328473755800e-01 -1.303635572519337531e-02 -1.326013545597392294e+04 -1.340529412766795758e+04 -1.257778640985281540e-02 -2.413080314264986370e+01 -1.331256738505985413e+04 1.045167108512881637e-02 1.045167108483835081e-02
