# Bispectrum RIC correction for sample NGC and SN subtraction True 
#  k1_eff k2_eff k3_eff Wk_ric
5.738000000000000045e-03 3.511100000000000332e-02 4.509300000000000114e-02 -8.775503235405238134e-02
5.738000000000000045e-03 4.009599999999999970e-02 4.009599999999999970e-02 4.967689121115234085e-01
5.738000000000000045e-03 4.009599999999999970e-02 4.509300000000000114e-02 -4.670184380188152629e-02
5.738000000000000045e-03 4.009599999999999970e-02 5.009299999999999864e-02 -8.315622997120529492e-02
5.738000000000000045e-03 4.509300000000000114e-02 4.509300000000000114e-02 4.921101013113201583e-01
5.738000000000000045e-03 4.509300000000000114e-02 5.009299999999999864e-02 -4.723585183377523172e-02
5.738000000000000045e-03 4.509300000000000114e-02 5.507800000000000196e-02 -4.626616642760646853e-02
5.738000000000000045e-03 5.009299999999999864e-02 5.009299999999999864e-02 5.525566501052839863e-01
5.738000000000000045e-03 5.009299999999999864e-02 5.507800000000000196e-02 -5.686371365013960510e-02
5.738000000000000045e-03 5.009299999999999864e-02 6.006700000000000234e-02 -1.386841332220676293e-01
5.738000000000000045e-03 5.507800000000000196e-02 5.507800000000000196e-02 5.442854834064873026e-01
5.738000000000000045e-03 5.507800000000000196e-02 6.006700000000000234e-02 -7.469357348484913228e-02
5.738000000000000045e-03 5.507800000000000196e-02 6.505900000000000571e-02 -8.429388926041032903e-02
5.738000000000000045e-03 6.006700000000000234e-02 6.006700000000000234e-02 5.798989130665452851e-01
5.738000000000000045e-03 6.006700000000000234e-02 6.505900000000000571e-02 -8.423294900465101709e-02
5.738000000000000045e-03 6.006700000000000234e-02 7.005400000000000515e-02 -1.128851707736596294e-01
5.738000000000000045e-03 6.505900000000000571e-02 6.505900000000000571e-02 5.765915309443048198e-01
5.738000000000000045e-03 6.505900000000000571e-02 7.005400000000000515e-02 -8.780478247895633082e-02
5.738000000000000045e-03 6.505900000000000571e-02 7.505299999999999472e-02 -1.261909509445486022e-01
5.738000000000000045e-03 7.005400000000000515e-02 7.005400000000000515e-02 5.682953990251112808e-01
5.738000000000000045e-03 7.005400000000000515e-02 7.505299999999999472e-02 -7.612007117720202831e-02
5.738000000000000045e-03 7.005400000000000515e-02 8.005400000000000016e-02 -1.260761781925501257e-01
5.738000000000000045e-03 7.505299999999999472e-02 7.505299999999999472e-02 5.876284746637697731e-01
5.738000000000000045e-03 7.505299999999999472e-02 8.005400000000000016e-02 -9.173617857358494498e-02
5.738000000000000045e-03 8.005400000000000016e-02 8.005400000000000016e-02 5.679969499120625098e-01
1.037300000000000028e-02 1.037300000000000028e-02 1.037300000000000028e-02 -3.157033958430518344e-02
1.037300000000000028e-02 1.037300000000000028e-02 1.525999999999999926e-02 2.227013216805676099e-02
1.037300000000000028e-02 1.037300000000000028e-02 2.019699999999999968e-02 1.283491909839777623e-01
1.037300000000000028e-02 1.037300000000000028e-02 2.516699999999999840e-02 -7.142869110667923738e-02
1.037300000000000028e-02 1.525999999999999926e-02 1.525999999999999926e-02 3.437013666693290725e-02
1.037300000000000028e-02 1.525999999999999926e-02 2.019699999999999968e-02 3.282226072593469324e-02
1.037300000000000028e-02 1.525999999999999926e-02 2.516699999999999840e-02 2.901343219767904200e-02
1.037300000000000028e-02 1.525999999999999926e-02 3.013700000000000059e-02 -4.272054191862966616e-02
1.037300000000000028e-02 2.019699999999999968e-02 2.019699999999999968e-02 3.416757688323847353e-02
1.037300000000000028e-02 2.019699999999999968e-02 2.516699999999999840e-02 4.675571191847691099e-02
1.037300000000000028e-02 2.019699999999999968e-02 3.013700000000000059e-02 1.710148246074138026e-02
1.037300000000000028e-02 2.019699999999999968e-02 3.511100000000000332e-02 3.893387886785895039e-03
